                                         ****************************************                                        
                     ********************************************************************************                    
           ****************************************************************************************************          
 ************************************************************************************************************************

       FFFFF      1       333     77777         WAVE DRAG CALCULATION BY FLOW-FIELD ANALYSIS INCORPORATING FULL          
       F         11      3   3        7         ---------------------------------------------------------------          
       F          1          3        7                       ASSESSMENT  OF  3-D SWEEP EFFECTS                          
       FFFF       1        33        7                        ---------------------------------                          
       F          1          3      7                                                                                    
       F          1      3   3     7                  S.E.ALLWRIGHT, Research Department, B.Ae. HATFIELD                 
       F         111      333      7     Issue 2.0                                                                       
                                         09/09/85                                                                        
 ************************************************************************************************************************
           ****************************************************************************************************          
                     ********************************************************************************                    
                                         ****************************************                                        


    DETAILS OF FLOW CALCULATION :-
    ---------------------------


  Calculation method  : SHORTS VISCOUS FULL POTENTIAL

            Mach No.  =   0.330
           Incidence  =   0.0000
       Reynolds No.  =   12000000.00
               LAMDA  =   0.25

                 CLT  =  0.31519
                 CDT  =  0.00289
              ERRMAX  =  0.000000

            Grid size  L, M, N  =  22, 38, 162
     Last station on wing, MTIP =   30
    Ordinates of wing tip, YTIP =  3.78004
                            XLE =  0.39396
                            XTE =  0.76852

      Reference wing area, AREA =  5.25239

     Reference wing chord, CBAR =  0.69475
  1)  UPPER SURFACE FLOW FIELD ANALYSIS                                              
     ----------------------------------

                                                +-----------+--------------+            
 +----------------------------------------------| EXTENT OF | IDENTITY AND +-----------------------+-------------------------------+
 |         PLANFORM GEOMETRY DETAILS            |  SHOCK    | CREDIBILITY  | SURFACE SHOCK DETAILS |      DRAG COEFFS (*1.0E4)     |
 +----+------+------+------+------+------+------+-----+-----+-------+------+-------+-------+-------+-------+-------+-------+-------+
 |  K |  ETA |    Y |  XLE |CHORD |C/CBAR| CLL  | BEG | END | IDENT | CRED |   X/c | M(loc)|Rel.SWP| LOCK  |  CDW  |CDWC/CB| CDWTOT|
 +----+------+------+------+------+------+------+-----+-----+-------+------+-------+-------+-------+-------+-------+-------+-------+

    1  0.0000 0.0000 0.0000 1.0000 1.4394 0.2806
    2  0.0252 0.0953 0.0080 0.9862 1.4195 0.2828
    3  0.0518 0.1957 0.0164 0.9716 1.3985 0.2854
    4  0.0802 0.3032 0.0254 0.9560 1.3761 0.2884
    5  0.1097 0.4148 0.0348 0.9398 1.3528 0.2923
